post_date,count_id_indexed
6/11/2021,1.609
5/9/2021,1.6079
5/10/2021,1.6076
4/23/2021,1.6063
4/25/2021,1.6018
6/25/2021,1.6007
6/12/2021,1.6
4/24/2021,1.598
6/26/2021,1.5962
4/14/2021,1.5931
6/24/2021,1.592
4/22/2021,1.5895
6/27/2021,1.5894
6/23/2021,1.5855
3/2/2021,1.5847
4/15/2021,1.5843
4/11/2021,1.5824
4/10/2021,1.5764
6/22/2021,1.5758
4/17/2021,1.5749
5/11/2021,1.5732
3/30/2021,1.5717
6/13/2021,1.5715
4/18/2021,1.5707
4/20/2021,1.5697
3/1/2021,1.5693
7/13/2021,1.5685
4/19/2021,1.5674
6/7/2021,1.566
4/16/2021,1.5659
6/14/2021,1.5577
4/21/2021,1.5576
2/28/2021,1.5536
3/27/2021,1.5499
4/9/2021,1.5481
3/28/2021,1.5478
5/12/2021,1.5455
3/22/2021,1.5435
3/25/2021,1.5421
2/27/2021,1.5398
3/20/2021,1.5376
3/19/2021,1.5338
3/24/2021,1.5327
6/6/2021,1.5324
3/21/2021,1.5293
4/8/2021,1.5275
3/26/2021,1.5269
3/17/2021,1.5267
6/16/2021,1.5263
3/18/2021,1.5244
6/17/2021,1.5229
5/13/2021,1.52
3/29/2021,1.517
3/23/2021,1.5163
2/26/2021,1.5133
3/31/2021,1.5092
3/14/2021,1.509
3/15/2021,1.5071
6/5/2021,1.5025
3/16/2021,1.4994
2/25/2021,1.4966
6/15/2021,1.4966
4/7/2021,1.4926
5/14/2021,1.4895
4/2/2021,1.4871
4/1/2021,1.4817
2/24/2021,1.4807
6/18/2021,1.4759
6/28/2021,1.4682
5/15/2021,1.4578
5/16/2021,1.4544
3/13/2021,1.4502
4/3/2021,1.4489
5/17/2021,1.4463
4/4/2021,1.4452
4/5/2021,1.4423
4/6/2021,1.4242
6/4/2021,1.4239
5/18/2021,1.4232
3/4/2021,1.4158
6/19/2021,1.4087
6/20/2021,1.4083
3/12/2021,1.4075
2/2/2021,1.4074
2/3/2021,1.4017
3/5/2021,1.4017
6/21/2021,1.4003
3/3/2021,1.3901
2/1/2021,1.3892
5/20/2021,1.3822
5/19/2021,1.3787
10/22/2020,1.3779
3/6/2021,1.3752
5/26/2021,1.3736
3/11/2021,1.3734
5/23/2021,1.3706
5/22/2021,1.3702
3/10/2021,1.3687
2/4/2021,1.3676
5/30/2021,1.3651
5/21/2021,1.3643
5/28/2021,1.3625
10/21/2020,1.3624
5/29/2021,1.3591
5/25/2021,1.3559
5/27/2021,1.3538
5/24/2021,1.3524
2/6/2021,1.3519
3/9/2021,1.345
3/8/2021,1.3443
2/7/2021,1.3442
2/5/2021,1.3401
3/7/2021,1.3384
10/20/2020,1.3321
1/31/2021,1.3251
5/31/2021,1.3145
1/30/2021,1.3114
10/23/2020,1.3109
1/29/2021,1.3049
1/14/2021,1.3023
2/8/2021,1.2937
10/19/2020,1.2907
6/2/2021,1.2898
10/24/2020,1.2864
1/28/2021,1.2736
10/25/2020,1.2695
11/19/2020,1.2667
7/12/2021,1.2596
2/9/2021,1.2563
1/6/2021,1.2558
2/23/2021,1.2542
2/12/2021,1.2512
6/1/2021,1.2502
11/23/2020,1.2451
2/10/2021,1.2391
1/15/2021,1.2384
1/17/2021,1.2374
1/16/2021,1.2368
11/22/2020,1.2353
11/21/2020,1.2343
2/13/2021,1.233
1/27/2021,1.2325
2/11/2021,1.2314
2/14/2021,1.2259
10/3/2020,1.2255
2/15/2021,1.2233
11/18/2020,1.2229
11/20/2020,1.2223
1/26/2021,1.199
6/3/2021,1.1986
10/2/2020,1.1958
1/18/2021,1.1903
11/17/2020,1.1858
11/7/2020,1.1856
10/18/2020,1.1838
11/24/2020,1.1827
8/24/2020,1.1823
10/26/2020,1.17
10/17/2020,1.1698
2/22/2021,1.1671
2/18/2021,1.167
2/19/2021,1.1658
2/17/2021,1.1643
11/8/2020,1.1639
2/16/2021,1.1634
11/13/2020,1.1601
2/20/2021,1.1601
10/4/2020,1.1593
1/22/2021,1.1588
2/21/2021,1.1577
1/21/2021,1.1501
11/15/2020,1.1458
10/7/2020,1.1428
11/14/2020,1.1427
10/27/2020,1.1423
1/23/2021,1.1416
11/9/2020,1.1394
1/19/2021,1.1354
1/20/2021,1.1353
10/6/2020,1.1342
10/16/2020,1.1336
11/16/2020,1.1314
1/24/2021,1.13
8/25/2020,1.1294
8/20/2020,1.1289
8/26/2020,1.1259
8/27/2020,1.1217
11/6/2020,1.1207
10/5/2020,1.1206
1/25/2021,1.1198
10/28/2020,1.1148
11/25/2020,1.1142
10/8/2020,1.113
11/5/2020,1.1095
11/3/2020,1.1074
11/2/2020,1.106
11/10/2020,1.1051
11/11/2020,1.1043
11/4/2020,1.1038
8/23/2020,1.101
11/12/2020,1.0993
3/10/2020,1.0979
6/29/2021,1.0972
10/1/2020,1.0962
3/7/2020,1.0957
10/9/2020,1.0956
11/1/2020,1.095
3/9/2020,1.0949
10/29/2020,1.0936
3/11/2020,1.0912
3/8/2020,1.083
8/18/2020,1.082
10/30/2020,1.0819
10/11/2020,1.0813
10/10/2020,1.08
10/12/2020,1.079
3/12/2020,1.0747
8/29/2020,1.0742
